AmountMetadataID,BeneficialUseCategory,PrimaryUseCategory,USGSCategoryCV,SDWISIdentifier,NAICSCodeCV,PopulationServed,IrrigatedAcreage,IrrigationMethod,CropType,PowerGeneratedGWh,Geometry,InterbasinTransferFromID,InterbasinTransferToID
1,Agriculture,,Irrigation,,,,,,,,,,
2,Agriculture,,Irrigation,,,,,,,,,,
3,Agriculture,,Irrigation,,,,,,,,,,
4,Agriculture,,Irrigation,,,,,,,,,,
5,Agriculture,,Irrigation,,,,,,,,,,
6,Agriculture,,Irrigation,,,,,,,,,,
7,Agriculture,,Irrigation,,,,,,,,,,
8,Agriculture,,Irrigation,,,,,,,,,,
9,Agriculture,,Irrigation,,,,,,,,,,
10,Agriculture,,Irrigation,,,,,,,,,,
11,Agriculture,,Irrigation,,,,,,,,,,
12,Agriculture,,Irrigation,,,,,,,,,,
13,Agriculture,,Irrigation,,,,,,,,,,
14,Agriculture,,Irrigation,,,,,,,,,,
15,Agriculture,,Irrigation,,,,,,,,,,
16,Agriculture,,Irrigation,,,,,,,,,,
17,Agriculture,,Irrigation,,,,,,,,,,
18,Agriculture,,Irrigation,,,,,,,,,,
19,Agriculture,,Irrigation,,,,,,,,,,
20,Agriculture,,Irrigation,,,,,,,,,,
21,Agriculture,,Irrigation,,,,,,,,,,
22,Agriculture,,Irrigation,,,,,,,,,,
23,Agriculture,,Irrigation,,,,,,,,,,
24,Agriculture,,Irrigation,,,,,,,,,,
25,Agriculture,,Irrigation,,,,,,,,,,
26,Agriculture,,Irrigation,,,,,,,,,,
27,Agriculture,,Irrigation,,,,,,,,,,
28,Agriculture,,Irrigation,,,,,,,,,,
29,Agriculture,,Irrigation,,,,,,,,,,
30,Agriculture,,Irrigation,,,,,,,,,,
31,Agriculture,,Irrigation,,,,,,,,,,
32,Agriculture,,Irrigation,,,,,,,,,,
33,Agriculture,,Irrigation,,,,,,,,,,
34,Agriculture,,Irrigation,,,,,,,,,,
35,Agriculture,,Irrigation,,,,,,,,,,
36,Agriculture,,Irrigation,,,,,,,,,,
37,Agriculture,,Irrigation,,,,,,,,,,
38,Agriculture,,Irrigation,,,,,,,,,,
39,Agriculture,,Irrigation,,,,,,,,,,
40,Agriculture,,Irrigation,,,,,,,,,,
41,Agriculture,,Irrigation,,,,,,,,,,
42,Agriculture,,Irrigation,,,,,,,,,,
43,Agriculture,,Irrigation,,,,,,,,,,
44,Agriculture,,Irrigation,,,,,,,,,,
45,Agriculture,,Irrigation,,,,,,,,,,
46,Agriculture,,Irrigation,,,,,,,,,,
47,Agriculture,,Irrigation,,,,,,,,,,
48,Agriculture,,Irrigation,,,,,,,,,,
49,Agriculture,,Irrigation,,,,,,,,,,
50,Agriculture,,Irrigation,,,,,,,,,,
51,Agriculture,,Irrigation,,,,,,,,,,
52,Agriculture,,Irrigation,,,,,,,,,,
53,Agriculture,,Irrigation,,,,,,,,,,
54,Agriculture,,Irrigation,,,,,,,,,,
55,Agriculture,,Irrigation,,,,,,,,,,
