WaterSourceID,WaterSourceUUID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
1,1,Abbot Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
2,2,Acme Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
3,3,Acorn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
4,4,Adams Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
5,5,Adams Fork Conejos River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
6,6,Adobe Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
7,7,Agate Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
8,8,Agua Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
9,9,Agua Ramon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
10,10,Aichers Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
11,11,Alamo Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
12,12,Alamo Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
13,13,Alamosa River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
14,14,Albert Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
15,15,Alder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
16,16,Alderdice Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
17,17,Aldrich Slough,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
18,18,Alfalfa Run,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
19,19,Alkali Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
20,20,Alkali Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
21,21,Alkali Slough Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
22,22,Allen Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
23,23,Allenwater Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
24,24,Alpine Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
25,25,Alum Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
26,26,Alvarado Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
27,27,Anderson Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
28,28,Anderson Auroya,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
29,29,Animas River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
30,30,Antelope Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
31,31,Antelope Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
32,32,Antelope Gulch Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
33,33,Anthracite Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
34,34,Apache Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
35,35,Apex Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
36,36,Apishapa River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
37,37,Arapaho Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
38,38,ARAPAHOE,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
39,39,Archuleta Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
40,40,Arikaree River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
41,41,Arkansas River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
42,42,Armstrong Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
43,43,Armstrong Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
44,44,Arroyo Escondido,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
45,45,Ashcroft Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
46,46,Aspen Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
47,47,Aspen Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
48,48,Aspen Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
49,49,Atascadero Arroya,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
50,50,Aubury Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
51,51,Austrian Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
52,52,Avalanche Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
53,53,Avoca Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
54,54,Aztec Wash,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
55,55,Bachelor Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
56,56,Badger Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
57,57,Badgero Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
58,58,Baker Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
59,59,Balanger Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
60,60,Bald Mountain Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
61,61,Baldwin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
62,62,Baldy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
63,63,Balm of Gilead Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
64,64,Bangs Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
65,65,Banita Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
66,66,Bar Seven L Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
67,67,Barbara Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
68,68,Barber Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
69,69,Bard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
70,70,Barger Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
71,71,Barnard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
72,72,Barnes Meadow Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
73,73,Barney Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
74,74,Barret Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
75,75,Barton Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
76,76,Basin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
77,77,Basin Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
78,78,Battle Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
79,79,Battlement Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
80,80,Baxter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
81,81,Bead Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
82,82,Bear Canon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
83,83,Bear Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
84,84,Bear Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
85,85,Bear Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
86,86,Bear Park Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
87,87,Bear River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
88,88,Beard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
89,89,Beaton Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
90,90,Beaver Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
91,91,Beaver Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
92,92,Beaver Lake Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
93,93,Beck Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
94,94,Bedrock Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
95,95,Beef Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
96,96,Bell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
97,97,Bell Rock Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
98,98,Bellows Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
99,99,Ben Morgan Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
100,100,Ben Tyler Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
101,101,Bend Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
102,102,Benner Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
103,103,Bennett Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
104,104,Bent Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
105,105,Bernard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
106,106,Berri Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
107,107,Berry Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
108,108,Berry Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
109,109,Berwind Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
110,110,Biedell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
111,111,Bieser Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
112,112,Big Alkali Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
113,113,Big Bear Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
114,114,Big Beaver Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
115,115,Big Bend Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
116,116,Big Blue Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
117,117,Big Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
118,118,Big Cottonwood Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
119,119,Big Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
120,120,Big Dominguez Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
121,121,Big Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
122,122,Big Dry Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
123,123,Big Fish Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
124,124,Big Foundation Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
125,125,Big Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
126,126,Big Hollow,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
127,127,Big Joe Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
128,128,Big Salt Wash,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
129,129,Big Sandy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
130,130,Big Spring Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
131,131,Big Spring Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
132,132,Big Thompson River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
133,133,Big Union Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
134,134,Bighole Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
135,135,Bighorn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
136,136,Bijou Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
137,137,Bill Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
138,138,Bill Tyler Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
139,139,Billings Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
140,140,Billy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
141,141,Birdie Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
142,142,Birdseye Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
143,143,Bishop Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
144,144,Black Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
145,145,Black Cloud Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
146,146,Black Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
147,147,Black Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
148,148,Black Hollow Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
149,149,Black Mountain Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
150,150,Black Squirrel Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
151,151,Black Sulphur Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
152,152,Blacks Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
153,153,Blacktail Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
154,154,Blackwell Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
155,155,Blue Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
156,156,Blue Gravel Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
157,157,Blue River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
158,158,Blue Springs Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
159,159,Bluebell Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
160,160,Bob Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
161,161,Bogenschutz Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
162,162,Boggs Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
163,163,Boise Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
164,164,Bolton Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
165,165,Boone Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
166,166,Boone Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
167,167,Bord Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
168,168,Boswell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
169,169,Boulder Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
170,170,Boulder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
171,171,Bowen Drain,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
172,172,Bowers Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
173,173,Bowles Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
174,174,Bowman Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
175,175,Box Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
176,176,Box Elder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
177,177,Box Elder Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
178,178,Box Spring Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
179,179,Boxelder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
180,180,Boxelder Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
181,181,Bradburn Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
182,182,Brady Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
183,183,Brandy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
184,184,Brantner Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
185,185,Bratton Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
186,186,Brice Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
187,187,Bridal Veil Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
188,188,Bridger Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
189,189,Brinker Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
190,190,Brinks Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
191,191,British Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
192,192,Brock Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
193,193,Broken Rib Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
194,194,Broman Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
195,195,Brook Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
196,196,Brookside Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
197,197,Broomfield Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
198,198,Brown Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
