OrganizationID,ReportingUnitNativeID,ReportingUnitID,VariableSpecificCV,VariableSpecificID,BeneficialUseCategory,USGSCategoryCV,WaterSourceID,WaterSourceID,MethodName,MethodID,ReportYearCV,TimeframeStart,TimeframeEnd,InterbasinTransferFromID,InterbasinTransferToID,Amount,PopulationServed,IrrigatedAcreage,PowerGeneratedGWh,NAICSCodeCV,Geometry,                              ,                              ,,,
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,79581.43,,,,,,1,"Consumptive Use, Irrigation",,ReportingUnitID,ReportingUnitNativeID
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,76915.00,,,,,,2,"Withdrawal, Irrigation",,6,000-01-01
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,66243.16,,,,,,3,"Withdrawal, Public Supply",,4,000-01-02
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,69960.46,,,,,,                              ,                              ,,2,000-01-03
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,82652.56,,,,,,5,Consumptive Use Estimate,,5,000-02-00
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,67784.22,,,,,,7,INSTREAM_FLOW,,9,00-01-01
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,62804.83,,,,,,3,LEGAVLBLE,,8,00-01-02
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,69598.49,,,,,,4,RETURNFLOW,,1,00-01-03
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,68243.32,,,,,,8,STORAGE_SUPPLY,,32,00-02-01
1,49001,215,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,68012.04,,,,,,1,STREAMFLOW_SUPPLY,,85,00-02-02
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,238770.92,,,,,,2,"Use, Agricultural Landuse Survey",,52,00-02-03
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,293652.93,,,,,,6,Withdrawal Volume Estimate,,118,00-03-01
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,293822.24,,,,,,                              ,                              ,,87,00-03-02
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,290046.21,,,,,,2,Fresh_Ground,,41,00-04-00
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,248777.26,,,,,,1,Fresh_Surface,,12,00-05-01
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,266766.86,,,,,,3,Fresh_SW_GW,,63,00-05-02
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,243149.71,,,,,,                              ,                              ,,132,00-06-01
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,293164.51,,,,,,                              ,                              ,,35,00-06-02
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,319441.39,,,,,,                              ,                              ,,7,00-07-01
1,49003,216,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,297581.25,,,,,,                              ,                              ,,3,00-07-02
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,72142.95,,,,,,                              ,                              ,,141,01-01-01
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,84427.53,,,,,,                              ,                              ,,144,01-01-04
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,97122.26,,,,,,                              ,                              ,,142,01-01-06
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,87546.24,,,,,,                              ,                              ,,143,01-01-07
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,66724.86,,,,,,                              ,                              ,,146,01-03-01
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,75468.67,,,,,,                              ,                              ,,145,01-03-02
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,59935.93,,,,,,                              ,                              ,,44,02-01-01
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,91118.86,,,,,,                              ,                              ,,40,02-01-02
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,91307.91,,,,,,                              ,                              ,,36,02-01-03
1,49005,217,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,57028.88,,,,,,                              ,                              ,,29,02-01-04
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,26539.45,,,,,,                              ,                              ,,27,02-01-05
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,29835.47,,,,,,                              ,                              ,,38,02-01-06
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,32009.17,,,,,,                              ,                              ,,28,02-01-07
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,29213.71,,,,,,                              ,                              ,,10,02-01-08
