WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry,
Abbot Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Acme Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Acorn Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Adams Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Adams Fork Conejos River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Adobe Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Agate Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Agua Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Agua Ramon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aichers Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alamo Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alamo Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alamosa River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Albert Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alder Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alderdice Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aldrich Slough,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alfalfa Run,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alkali Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alkali Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alkali Slough Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Allen Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Allenwater Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alpine Brook,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alum Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alvarado Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Anderson Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Anderson Auroya,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Animas River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
