WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry,
Abbot Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Acme Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Acorn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Adams Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Adams Fork Conejos River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Adobe Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Agate Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Agua Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Agua Ramon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aichers Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alamo Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alamo Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alamosa River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Albert Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alderdice Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aldrich Slough,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alfalfa Run,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alkali Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alkali Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alkali Slough Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Allen Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Allenwater Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alpine Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alum Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Alvarado Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Anderson Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Anderson Auroya,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Animas River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
